DL1,DL2,DL3,DL4,DL5,DL6,DL7,DL8,DL9,DL10,DL11,DL12,DL13,DL14
1e+20,7.826e+10,2.1929e+10,35.531,30.051,1.315e+10,13.876,1.1288e+10,8.3515,6.0878,7.6389,6.9155,11.359,3.0676
1e+20,6.6211e+10,1.8006e+10,25.918,21.932,1.0384e+10,10.598,9.3031e+09,6.2754,4.6722,6.0466,5.641,9.0242,2.3886
1e+20,4.6981e+10,1.1958e+10,13.976,11.83,6.4114e+09,6.2264,6.1471e+09,3.611,2.7836,3.7621,3.6704,5.6449,1.4663
1e+20,1.9561e+11,2.7943e+10,204.56,240.02,4.0628e+10,54.864,2.5921e+10,38.096,24.465,23.818,17.481,35.29,12.036
1e+20,1.9455e+11,2.7026e+10,198.47,234.14,4.0111e+10,53.666,2.5621e+10,37.15,23.908,23.429,17.272,34.73,11.752
1e+20,1.934e+11,2.6041e+10,191.84,227.7,3.9537e+10,52.37,2.529e+10,36.141,23.314,23.01,17.047,34.13,11.455
1e+20,1.9215e+11,2.498e+10,184.63,220.64,3.8896e+10,50.965,2.4925e+10,35.061,22.681,22.556,16.802,33.483,11.142
1e+20,1.9077e+11,2.3831e+10,176.75,212.88,3.8178e+10,49.433,2.4518e+10,33.9,22.002,22.063,16.536,32.783,10.811
1e+20,1.8926e+11,2.2583e+10,168.13,204.33,3.7368e+10,47.754,2.4061e+10,32.647,21.269,21.523,16.243,32.019,10.46
1e+20,1.8759e+11,2.1216e+10,158.63,194.83,3.6445e+10,45.899,2.3542e+10,31.282,20.471,20.924,15.916,31.176,10.084
1e+20,1.8572e+11,1.9706e+10,148.08,184.19,3.538e+10,43.825,2.2944e+10,29.779,19.593,20.252,15.546,30.231,9.6759
1e+20,1.836e+11,1.8018e+10,136.23,172.1,3.4124e+10,41.468,2.2237e+10,28.097,18.608,19.482,15.117,29.151,9.2263
1e+20,1.8115e+11,1.6094e+10,122.67,158.06,3.26e+10,38.718,2.1376e+10,26.167,17.476,18.573,14.601,27.875,8.7175
1e+20,1.7821e+11,1.3837e+10,106.68,141.18,3.0653e+10,35.371,2.0266e+10,23.858,16.113,17.442,13.946,26.289,8.1153
1e+20,1.7442e+11,1.1045e+10,86.708,119.43,2.7918e+10,30.951,1.868e+10,20.866,14.328,15.896,13.02,24.109,7.3371
1e+20,1.6841e+11,7.1176e+09,57.967,86.072,2.3015e+10,23.767,1.574e+10,16.091,11.403,13.187,11.289,20.241,6.0618
1e+20,1.9315e+11,5.8655e+10,138.42,200.99,3.902e+10,50.114,2.4993e+10,35.339,23.12,22.893,17.042,34.127,11.585
1e+20,1.922e+11,5.7986e+10,135.67,197.3,3.8616e+10,49.232,2.476e+10,34.597,22.664,22.571,16.862,33.651,11.338
1e+20,1.9118e+11,5.7282e+10,132.79,193.39,3.8181e+10,48.306,2.4512e+10,33.825,22.191,22.233,16.673,33.153,11.083
1e+20,1.9009e+11,5.6541e+10,129.75,189.24,3.7711e+10,47.334,2.4247e+10,33.023,21.7,21.878,16.474,32.631,10.821
1e+20,1.8894e+11,5.576e+10,126.56,184.84,3.7205e+10,46.315,2.3965e+10,32.189,21.19,21.506,16.264,32.085,10.552
1e+20,1.8771e+11,5.4937e+10,123.2,180.18,3.6661e+10,45.245,2.3665e+10,31.322,20.66,21.114,16.043,31.512,10.275
1e+20,1.864e+11,5.4068e+10,119.68,175.26,3.6074e+10,44.122,2.3344e+10,30.421,20.109,20.703,15.81,30.91,9.9891
1e+20,1.8501e+11,5.3149e+10,115.99,170.07,3.5442e+10,42.943,2.3001e+10,29.484,19.537,20.269,15.563,30.278,9.6948
1e+20,1.8351e+11,5.2177e+10,112.11,164.58,3.476e+10,41.705,2.2633e+10,28.51,18.941,19.811,15.301,29.611,9.391
1e+20,1.8192e+11,5.1144e+10,108.04,158.79,3.4024e+10,40.404,2.2238e+10,27.494,18.32,19.327,15.022,28.907,9.0772
1e+20,1.802e+11,5.0046e+10,103.77,152.66,3.3228e+10,39.033,2.1813e+10,26.436,17.672,18.815,14.723,28.162,8.7523
1e+20,1.7836e+11,4.8872e+10,99.271,146.2,3.2364e+10,37.588,2.1353e+10,25.331,16.995,18.269,14.403,27.37,8.4153
1e+20,1.7637e+11,4.7615e+10,94.539,139.35,3.1425e+10,36.061,2.0853e+10,24.175,16.284,17.688,14.057,26.525,8.0649
1e+20,1.742e+11,4.626e+10,89.55,132.1,3.0399e+10,34.443,2.0308e+10,22.964,15.537,17.064,13.682,25.619,7.6992
